Time,Current,Magnetic Field 3,Magnetic Field 1,Magnetic Field 2
0,0,0.0011,-0.001,0.0015
0.01,0,0.0001,-0.0006,0.0019
0.02,0,0.0007,0.0009,-0.0003
0.03,0,0.0003,-0.001,0.0011
0.04,0,-0.0012,0.0005,0.003
0.05,-0.006,-0.0014,0,-0.0001
0.06,0,0.0009,0.0007,0.0013
0.07,-0.006,-0.0006,-0.0016,-0.0001
0.08,0,0.0001,-0.0002,0.0003
0.09,-0.006,-0.0006,-0.0004,0.0005
0.1,-0.006,-0.0014,0.0003,-0.0001
0.11,0,-0.0006,-0.0004,0.0005
0.12,0,0.0007,0.0009,0.0005
0.13,-0.006,-0.0005,0.0001,0.0017
0.14,0,-0.0008,-0.0004,0.0001
0.15,-0.006,0.0015,-0.0004,0.0013
0.16,-0.006,0.0003,-0.001,-0.0008
0.17,-0.006,-0.0006,-0.0004,-0.0001
0.18,0,-0.002,0.0007,0.0011
0.19,0,-0.0005,0.0015,-0.0008
0.2,0,0.0005,0.0017,-0.0014
0.21,0,-0.0008,0.0001,-0.0001
0.22,-0.006,-0.0016,0.0013,0.0001
0.23,0.005,-0.0014,0.0011,-0.0012
0.24,0,0.0007,0.0005,0.0001
0.25,-0.006,0.0007,0.0003,0.0009
0.26,0,-0.0006,0.0001,0.0005
0.27,0,0.0001,-0.0016,-0.0003
0.28,0,-0.0018,-0.001,0.0009
0.29,0,0.0003,0.0007,0.0013
0.3,-0.006,-0.0006,0.0003,0.0007
0.31,0,0.0001,-0.0018,-0.0016
0.32,0,-0.0018,-0.0016,-0.0016
0.33,0,-0.002,0.0007,-0.0008
0.34,-0.006,0.0001,-0.002,0.0019
0.35,0,-0.0006,0,0.0007
0.36,0,-0.0005,-0.0004,0.0007
0.37,0,0.0007,-0.0006,-0.001
0.38,-0.006,-0.0014,0,-0.0014
0.39,0,-0.0006,0.0015,0.0017
0.4,0,-0.0012,0.0015,0.0015
0.41,-0.006,-0.0006,0.0005,0.0007
0.42,0,-0.0006,0.0013,0.0001
0.43,0,0.0009,0.0009,0.0007
0.44,0,-0.0018,0.0009,0.0013
0.45,0,0.0003,-0.001,0.0013
0.46,0,-0.002,-0.0008,0.0007
0.47,0,-0.0005,0.0009,0.0011
0.48,0,-0.0006,-0.0006,-0.0001
0.49,0,0.0005,0.0017,0.0003
0.5,0,-0.001,0.0009,0.0007
0.51,0,-0.0005,0,-0.0003
0.52,-0.006,-0.0005,0,0.0005
0.53,-0.006,-0.0014,0.0003,0.0005
0.54,0,0.0007,0.0001,-0.0001
0.55,-0.006,-0.0024,-0.0002,0.0009
0.56,-0.006,-0.0014,0,0.0028
0.57,0,-0.0008,0.0005,-0.0003
0.58,0,0.0001,0.0011,0.0003
0.59,0,-0.0008,-0.0006,0.0023
0.6,0,0.0009,0.0001,0.0013
0.61,0,0.0005,-0.0004,0.0025
0.62,0,-0.0006,-0.0006,0.0015
0.63,-0.006,-0.0014,-0.0014,0.0019
0.64,0,0.0007,0.0011,0.0011
0.65,0.005,0.0001,0,0.0009
0.66,-0.006,-0.0005,0.0015,0.0013
0.67,-0.006,-0.0006,-0.0002,-0.0001
0.68,-0.006,0.0007,0.0011,0.0003
0.69,0,-0.0008,0.0005,0.0011
0.7,0,0.0007,-0.0012,0.0015
0.71,-0.006,0.0007,-0.0006,-0.0001
0.72,0,-0.0016,0.0009,-0.0008
0.73,0,-0.0018,-0.0006,0.0011
0.74,-0.006,-0.0008,-0.0002,0.0025
0.75,0,0.0007,-0.0012,-0.0001
0.76,-0.006,0.0007,0.0001,0.0005
0.77,-0.006,-0.001,-0.0006,0.0019
0.78,0,-0.0014,-0.0012,0.0015
0.79,-0.006,-0.0016,0.0009,0.0003
0.8,0,-0.0005,0.0005,0.0009
0.81,0,-0.0016,0.0009,0.0009
0.82,0,0.0015,-0.0006,-0.0003
0.83,0,-0.0005,0.0005,-0.0001
0.84,0,-0.0018,0.0007,0.0009
0.85,0,-0.0022,0.0009,0.0017
0.86,0,0.0003,0.0005,0.0017
0.87,0,-0.001,0.0017,0.0013
0.88,0,-0.0006,-0.0008,0.0009
0.89,0,-0.003,0.0003,0.0011
0.9,0,-0.0006,-0.0014,-0.002
0.91,0,-0.0006,-0.0004,-0.0014
0.92,0,-0.0014,0.0005,0.0001
0.93,-0.006,0.0003,0.0005,-0.0003
0.94,-0.006,-0.0006,-0.0004,0.0001
0.95,-0.006,0.0001,0.0007,-0.0001
0.96,-0.006,-0.0006,0.0003,0.0007
0.97,0,0.0001,0.0009,-0.0012
0.98,-0.006,-0.0012,-0.0006,-0.001
0.99,0,0.0003,-0.0016,-0.0003
1,-0.006,-0.0008,-0.0012,0.0011
1.01,0,-0.0006,-0.0014,-0.0006
1.02,0,-0.0006,-0.0012,-0.0014
1.03,-0.006,-0.0016,0.0001,0.0007
1.04,-0.006,-0.0006,-0.001,-0.0016
1.05,-0.006,-0.0016,0.0015,-0.0014
1.06,0,-0.0014,-0.0006,0.0013
1.07,-0.006,0.0001,0.0001,0.0001
1.08,0,0.0005,-0.0014,0.0007
1.09,-0.006,-0.0014,0.0011,-0.0001
1.1,0,-0.0008,0.0009,0.0003
1.11,0,-0.0012,0.0017,-0.0003
1.12,-0.006,0.0003,0.0011,0.0015
1.13,-0.006,-0.0016,0,-0.0003
1.14,-0.006,0.0001,0.0003,0.0001
1.15,-0.006,-0.0014,0.0009,0.0009
1.16,-0.006,0.0003,0.0005,0.0007
1.17,-0.006,0.0003,-0.0004,0.0007
1.18,0,0.0005,-0.0006,-0.0008
1.19,-0.006,-0.0006,0.0013,-0.0008
1.2,0,-0.0014,0.0011,0.0025
1.21,-0.006,-0.001,0,0.0001
1.22,-0.006,-0.0012,0.0009,0.0003
1.23,0,-0.0005,0.0027,0.0019
1.24,-0.006,-0.0014,-0.0008,0.0009
1.25,-0.006,-0.0005,0.0015,0.0001
1.26,-0.006,0.0013,0.0025,0.0019
1.27,-0.006,-0.0005,-0.0002,0.0003
1.28,-0.006,0.0007,-0.0006,0.0019
1.29,0,0.0001,-0.0002,0.0017
1.3,-0.006,-0.0006,0.0009,-0.0001
1.31,-0.006,-0.0008,0.0007,0.0025
1.32,-0.006,-0.002,0,-0.0008
1.33,-0.006,-0.0006,0.0011,0.0003
1.34,-0.006,0.0003,0.0009,0.0009
1.35,-0.006,-0.0014,0.0015,0.0015
1.36,-0.006,-0.0016,0.0015,0.0009
1.37,-0.006,-0.0016,0.0013,0.0007
1.38,-0.006,0.0003,0.0005,0.0003
1.39,0,0.0005,0.0017,0.0003
1.4,-0.006,0.0001,0.0001,0.0017
1.41,-0.006,0.0001,-0.0002,0.0003
1.42,-0.006,-0.0006,0.0005,0.0007
1.43,-0.006,0.0007,0,0.0019
1.44,0,-0.0005,0.0011,0.0011
1.45,-0.006,0.0009,0.0015,0.0011
1.46,0,-0.002,0.0017,0.0003
1.47,0,-0.0005,-0.0008,0.0007
1.48,-0.006,0.0005,0.0011,0.0026
1.49,0,-0.0008,0.0001,0.0003
1.5,0,-0.0006,0.0023,0.0019
1.51,-0.006,0.0003,0,0.0001
1.52,0,-0.0016,0.0003,-0.0008
1.53,0,-0.0006,0.0005,-0.001
1.54,-0.006,0.0001,0.0003,0.0021
1.55,0,0.0007,0.0003,0.0009
1.56,0,-0.0006,0.0011,0.0015
1.57,-0.006,-0.0008,-0.001,0.0009
1.58,0,-0.0014,0.0011,0.0017
1.59,0,-0.0016,0,-0.0003
1.6,-0.006,0.0021,-0.0012,-0.0001
1.61,0,-0.0006,0.0003,-0.0012
1.62,0,-0.0005,-0.0008,0.0005
1.63,0,-0.0005,-0.001,0.0007
1.64,-0.006,0.0007,-0.0002,0.0013
1.65,-0.006,-0.0006,0.0013,0.0003
1.66,0,-0.0006,0,0.0001
1.67,-0.006,-0.001,-0.0004,0.0001
1.68,-0.006,0.0003,0.0003,0.0021
1.69,0,0.0009,0.0019,-0.0005
1.7,0,0.0007,-0.0006,-0.001
1.71,0,-0.0006,0.0011,0.0001
1.72,-0.006,0.0013,0.0003,0.003
1.73,0,-0.0008,0.0001,0.0001
1.74,0,-0.0006,0.0015,0.0001
1.75,0,-0.0003,0.0005,0.0007
1.76,0,-0.0018,-0.0002,0.0009
1.77,-0.006,0.0003,0.0015,0.0005
1.78,-0.006,-0.0006,0.0021,0.0003
1.79,0,0.0007,-0.0004,-0.0003
1.8,0,0.0005,0.0003,0.0019
1.81,-0.006,0.0007,-0.0004,0.0001
1.82,0,-0.001,0.0011,-0.0003
1.83,0,-0.0008,0.0025,-0.0006
1.84,-0.006,0.0007,0.0019,-0.0008
1.85,-0.006,-0.0006,0.0007,0.0009
1.86,-0.006,0.0001,-0.0008,0.0013
1.87,-0.006,-0.0006,0.0005,0.0007
1.88,-0.006,0.0015,0.0019,0.0025
1.89,0,0.0003,0.0009,0.0009
1.9,-0.006,0.0011,0.0003,0.0007
1.91,0,-0.0006,0.0009,0.0007
1.92,0,0.0005,-0.0008,0.0007
1.93,0,0.0001,0.0003,-0.0006
1.94,0,0.0001,0.0017,-0.0008
1.95,0,0.0015,-0.0006,0.0001
1.96,-0.006,-0.0014,-0.0004,-0.0012
1.97,-0.006,0.0005,0.0003,0.0011
1.98,-0.006,0.0003,-0.0004,-0.0014
1.99,0,0.0005,0.0019,-0.0001
2,0,0.0017,0.0001,0.0013
2.01,-0.006,0.0009,0.0025,-0.0008
2.02,0,-0.0005,-0.0006,0.0009
2.03,0,-0.0005,-0.0006,0.0021
2.04,-0.006,0.0001,0.0003,0.0011
2.05,-0.006,0.0009,0.0019,0.0009
2.06,0,-0.0008,0.0007,0.0005
2.07,-0.006,0.0005,0.0003,0.0015
2.08,-0.006,-0.0006,0.0011,0.0017
2.09,-0.006,-0.0014,0.0003,0.0011
2.1,-0.006,0.0015,0.0001,0.0023
2.11,-0.006,-0.0012,-0.0006,0.0019
2.12,-0.006,0.0001,0,0.0015
2.13,0,0.0011,0.0009,0.0001
2.14,-0.006,0.0015,0.0003,0.0023
2.15,-0.006,0.0005,0.0035,-0.0001
2.16,0,0.0023,0.0007,-0.0012
2.17,0,0.0007,0.0009,0.0009
2.18,-0.006,0.0015,0.0017,0.0007
2.19,-0.006,0.0011,0.0003,0.0011
2.2,0,0.0011,0.0009,0.0007
2.21,-0.006,0.0001,0.0001,0.0001
2.22,-0.006,0.0005,-0.0012,-0.0008
2.23,-0.006,-0.0006,0.0015,0.0003
2.24,-0.006,0.0005,0.0009,-0.002
2.25,0,0.0013,-0.0012,-0.0001
2.26,0,0.0009,0,-0.0008
2.27,0,0.0003,0.0011,-0.0001
2.28,0,-0.0008,-0.0016,-0.0006
2.29,0.005,0.0007,0.0001,0.0011
2.3,0,-0.001,-0.0006,0.0001
2.31,0,0.0009,-0.001,-0.0016
2.32,0,0.0003,-0.0018,0.0007
2.33,0.005,0.0003,-0.0016,0.0007
2.34,0.005,-0.0005,-0.0014,0.0011
2.35,0.005,-0.0014,-0.0016,-0.0003
2.36,0.005,0.0023,-0.001,-0.0003
2.37,0.005,-0.0008,-0.0006,-0.001
2.38,0.005,-0.0005,0.0005,0.0005
2.39,0.005,0.0005,0.0009,0.0019
2.4,0.005,0.0009,0.0011,0.0013
2.41,0.005,0.0001,-0.0014,0.0023
2.42,0.005,0.0007,0.0011,0.0001
2.43,0.005,-0.001,-0.0004,0.0001
2.44,0.005,0.0005,-0.0016,0.0001
2.45,0.01,-0.0005,0.0011,0.0003
2.46,0.005,-0.0006,-0.0004,0.0011
2.47,0.01,-0.001,0.0003,0.0017
2.48,0.005,0.0011,0,-0.0001
2.49,0.005,-0.0012,-0.001,0.0015
2.5,0.005,-0.0005,-0.0006,-0.0014
2.51,0.005,-0.0008,-0.0012,0.0003
2.52,0.01,0.0011,0.0001,-0.0003
2.53,0.005,-0.0016,-0.0006,0.0009
2.54,0.005,0.0009,-0.002,0.0015
2.55,0.01,-0.0008,0.0013,0.0011
2.56,0.005,0.0001,-0.0028,0.0001
2.57,0.005,-0.0006,-0.0014,-0.0001
2.58,0.005,-0.001,-0.0008,0.0011
2.59,0.01,0.0001,-0.0002,-0.001
2.6,0.01,0.0003,0.0003,-0.0014
2.61,0.01,-0.0012,-0.001,0.0009
2.62,0.01,0.0011,0.0001,0.0007
2.63,0.01,0.0005,-0.0006,-0.0003
2.64,0.005,-0.0003,0.0015,-0.0001
2.65,0.005,0.0003,0.0009,-0.0012
2.66,0.01,-0.0012,0.0009,-0.0008
2.67,0.01,-0.0005,-0.0002,-0.0001
2.68,0.005,0.0017,0.0011,-0.0012
2.69,0.01,0.0009,0,-0.0001
2.7,0.01,-0.0014,0,-0.002
2.71,0.01,-0.0012,0.0001,0.0001
2.72,0.01,-0.001,-0.0006,0.0009
2.73,0.01,-0.0005,0.0001,-0.0012
2.74,0.005,-0.0016,-0.0014,0.0007
2.75,0.01,-0.0006,-0.0018,0.0009
2.76,0.01,0.0013,-0.001,-0.0012
2.77,0.005,0.0007,-0.0004,0.0001
2.78,0.01,-0.0012,-0.0012,0.0001
2.79,0.01,-0.0012,-0.0004,-0.0003
2.8,0.01,0.0005,-0.0014,-0.0008
2.81,0.01,0.0005,-0.0008,0.0019
2.82,0.005,0.0007,-0.0004,-0.0001
2.83,0.01,0.0013,-0.0002,-0.0012
2.84,0.01,-0.0014,-0.0004,-0.0014
2.85,0.005,-0.0012,0.0003,-0.0003
2.86,0.01,0.0013,-0.001,0.0025
2.87,0.005,-0.0003,0.0001,-0.0018
2.88,0.01,0.0001,0.0003,-0.0003
2.89,0.01,-0.0006,-0.0006,-0.0014
2.9,0.005,-0.0005,-0.0006,0.0009
2.91,0.01,0.0003,0.0001,-0.0014
2.92,0.01,0.0011,-0.001,0.0005
2.93,0.01,-0.0006,0.0003,-0.0001
2.94,0.01,-0.0005,-0.0002,0.0005
2.95,0.01,-0.0006,0.0019,-0.0018
2.96,0.01,-0.0006,0.0013,-0.0003
2.97,0.01,0.0003,0.0001,-0.0001
2.98,0.01,-0.0003,0.0003,-0.0016
2.99,0.01,-0.0014,0.0001,-0.0016
3,0.01,-0.0003,0.0005,0.0009
3.01,0.01,0.0015,-0.0006,-0.0006
3.02,0.01,-0.0012,0.0015,0.0015
3.03,0.01,-0.0006,-0.0016,-0.0008
3.04,0.005,-0.0006,-0.0016,0.0007
3.05,0.005,-0.0016,-0.0014,-0.0014
3.06,0.01,0.0013,-0.0012,0.0003
3.07,0.005,-0.0006,-0.0028,0.0001
3.08,0.005,-0.0005,-0.0016,-0.0003
3.09,0.005,-0.0006,-0.0008,0.0003
3.1,0.01,-0.0006,0.0001,0.0003
3.11,0.005,-0.0014,-0.0004,0.0013
3.12,0.01,0.0007,-0.0004,-0.0014
3.13,0.01,0.0007,-0.0014,0.0007
3.14,0.005,-0.0006,0.0001,-0.0003
3.15,0.01,-0.0005,0.0001,0.0001
3.16,0.005,0.0011,-0.0018,0.0011
3.17,0.01,0.0001,-0.001,0.0003
3.18,0.01,0.0001,0.0009,-0.0018
3.19,0.01,-0.0003,0.0007,-0.002
3.2,0.01,0.0011,0.0009,-0.0003
3.21,0.01,-0.0016,0.0005,-0.0008
3.22,0.01,-0.0008,-0.0012,-0.0008
3.23,0.01,-0.0022,0.0001,-0.0018
3.24,0.005,0.0011,0.0001,-0.0024
3.25,0.01,0.0015,0,0.0007
3.26,0.01,0.0003,-0.0014,-0.0018
3.27,0.005,0.0021,0.0005,-0.0014
3.28,0.01,-0.0008,-0.0008,-0.0018
3.29,0.005,-0.0006,-0.0012,0.0011
3.3,0.01,-0.0008,-0.0014,-0.0018
3.31,0.01,0.0011,-0.0006,-0.0001
3.32,0.01,0.0003,-0.0006,-0.0012
3.33,0.01,0.0001,-0.0014,-0.0003
3.34,0.01,-0.0003,0,-0.0018
3.35,0.01,0.0007,0.0001,0.0001
3.36,0.005,-0.0006,-0.0014,-0.0003
3.37,0.01,-0.0006,-0.0016,-0.0001
3.38,0.005,0.0005,-0.001,-0.0003
3.39,0.01,-0.002,-0.0012,0.0005
3.4,0.01,0.0009,0.0001,-0.0028
3.41,0.01,-0.0006,0.0001,-0.0003
3.42,0.01,0.0011,0.0001,-0.0012
3.43,0.01,-0.0005,-0.0014,-0.0016
3.44,0.005,-0.0006,-0.001,0.0001
3.45,0.01,0.0005,0.0001,-0.0001
3.46,0.005,-0.0006,0.0003,0.0011
3.47,0.01,-0.0008,-0.002,-0.0012
3.48,0.01,-0.0012,0.0009,0.0001
3.49,0.005,-0.0014,0.0001,-0.0014
3.5,0.01,0.0005,-0.0014,-0.0001
3.51,0.01,-0.002,-0.0026,0.0001
3.52,0.01,0.0005,0.0011,-0.0014
3.53,0.01,0.0017,-0.0014,-0.001
3.54,0.01,0.0019,-0.0012,-0.0003
3.55,0.01,0.0005,-0.0014,0.0005
3.56,0.01,-0.0006,-0.001,-0.0016
3.57,0.01,0.0005,-0.001,-0.0018
3.58,0.01,0.0007,-0.0006,0.0001
3.59,0.01,0.0003,-0.0006,-0.0008
3.6,0.01,0.0015,-0.0014,-0.0005
3.61,0.005,-0.0008,0.0007,-0.002
3.62,0.005,0.0007,0.0011,0.0001
3.63,0.01,0.0007,-0.0014,-0.0012
3.64,0.01,0.0009,-0.0024,-0.0012
3.65,0.01,0.0009,-0.0008,-0.0008
3.66,0.01,0.0019,0.0005,-0.0016
3.67,0.01,-0.0006,0.0003,-0.0012
3.68,0.005,0.0009,-0.0016,0.0003
3.69,0.01,0.0001,-0.0002,-0.002
3.7,0.01,0.0005,0,-0.0008
3.71,0.01,0.0001,-0.0004,0.0001
3.72,0.01,-0.0005,0.0011,-0.0003
3.73,0.01,-0.0006,0.0001,-0.0016
3.74,0.01,-0.0008,0.0003,-0.0008
3.75,0.01,0.0011,0.0007,-0.0008
3.76,0.01,-0.0005,-0.0004,-0.0014
3.77,0.01,0.0001,-0.001,-0.002
3.78,0.01,-0.0008,0,-0.0003
3.79,0.01,-0.0008,-0.001,-0.0003
3.8,0.01,0.0001,-0.0016,-0.0001
3.81,0.01,0.0013,-0.0004,-0.001
3.82,0.01,0.0009,-0.001,0.0003
3.83,0.015,-0.0008,-0.0012,-0.0012
3.84,0.01,0.0007,-0.0016,-0.002
3.85,0.01,-0.001,-0.0014,0.0001
3.86,0.01,-0.001,-0.0028,-0.001
3.87,0.015,-0.0006,-0.0008,-0.0005
3.88,0.015,-0.0008,-0.0016,-0.0008
3.89,0.015,0.0001,-0.0006,-0.0018
3.9,0.015,-0.0012,0.0003,0.0007
3.91,0.01,0.0001,-0.0016,-0.0012
3.92,0.015,0.0001,-0.001,0.0001
3.93,0.01,-0.0006,-0.0006,0.0005
3.94,0.01,0.0003,0.0001,0.0001
3.95,0.015,-0.0008,-0.0008,-0.0012
3.96,0.015,-0.0026,0.0007,-0.0014
3.97,0.015,-0.0012,-0.0014,0.0005
3.98,0.015,-0.0014,0.0005,-0.0014
3.99,0.015,0.0001,-0.0008,-0.0028
4,0.015,0.0001,-0.0004,0.0001
4.01,0.015,-0.002,0.0017,-0.0006
4.02,0.01,0.0007,0.0001,-0.0003
4.03,0.015,-0.0016,-0.0004,-0.0012
4.04,0.015,-0.002,-0.0002,0.0009
4.05,0.021,-0.0008,-0.0016,0.0009
4.06,0.021,-0.0008,-0.002,0.0001
4.07,0.015,-0.0014,0.0003,-0.0012
4.08,0.015,-0.0016,-0.0004,-0.0003
4.09,0.01,-0.0012,0,0.0017
4.1,0.015,-0.0018,0.0011,0.0003
4.11,0.015,-0.0018,-0.0002,-0.0014
4.12,0.021,-0.0014,0.0013,-0.0008
4.13,0.015,0.0003,0.0001,-0.001
4.14,0.015,-0.0006,-0.001,0.0001
4.15,0.015,-0.0014,-0.0012,0.0003
4.16,0.021,-0.0008,-0.0004,0.0005
4.17,0.021,-0.0016,-0.0028,0.0003
4.18,0.021,-0.0016,-0.0024,-0.0003
4.19,0.021,-0.0022,-0.001,0.0001
4.2,0.021,-0.0016,-0.0018,0.0003
4.21,0.021,-0.0024,-0.0012,-0.0014
4.22,0.021,-0.0022,-0.0022,0.0003
4.23,0.015,-0.0014,-0.001,-0.0014
4.24,0.015,-0.001,-0.0006,0.0001
4.25,0.015,-0.001,-0.0026,-0.0008
4.26,0.021,-0.001,-0.001,-0.0005
4.27,0.015,-0.0026,-0.0002,-0.0018
4.28,0.021,-0.0022,0,0.0005
4.29,0.015,-0.0012,0,-0.0008
4.3,0.015,-0.0022,-0.0014,-0.0008
