Time,Current,Magnetic Field 3,Magnetic Field 1,Magnetic Field 2
0,0,0.0017,-0.0018,-0.0007
0.01,0.005,-0.0003,0,-0.0003
0.02,0.005,0.0009,-0.0004,-0.0009
0.03,0.005,0.0011,-0.0026,0.0014
0.04,0,0.0005,-0.001,0.0008
0.05,0,-0.0007,0.0004,-0.0005
0.06,0.005,0.0017,-0.002,0.0014
0.07,0.005,-0.0013,-0.0004,0.0002
0.08,0.005,-0.0003,-0.0008,0.0012
0.09,0,0.0005,-0.0022,-0.0013
0.1,0.005,-0.0005,-0.0008,-0.0001
0.11,0,-0.0003,-0.0008,-0.0003
0.12,0,0.0013,-0.001,0.0006
0.13,0,-0.0003,-0.0014,0.0022
0.14,0.005,0.0007,0.0002,0.0026
0.15,0,0.0005,-0.002,0.0018
0.16,0,-0.0009,-0.0014,0.0004
0.17,0.005,0.0013,-0.0016,0.0004
0.18,0.005,0.0013,-0.0014,0.0006
0.19,0,0.0013,-0.0014,-0.0001
0.2,0.005,0.0021,0,0.0006
0.21,0,0.0013,0.0002,-0.0015
0.22,0,0.0011,-0.0012,0.0004
0.23,0,0.0005,-0.001,-0.0011
0.24,0,0.0005,0,-0.0013
0.25,0,-0.0011,-0.0008,-0.0015
0.26,0,0.0007,0.0004,0.0006
0.27,0.005,0.0007,-0.0014,0.0016
0.28,0,0.0007,0.0008,-0.0013
0.29,0.005,0.0011,-0.001,-0.0007
0.3,0,0.0007,-0.0006,0.001
0.31,0.005,0.0009,-0.0014,-0.0013
0.32,0,-0.0018,-0.0016,0.0006
0.33,0,-0.0003,-0.0006,0.0002
0.34,0,-0.0009,-0.001,-0.0015
0.35,0,0.0005,-0.0004,-0.0011
0.36,0.005,0.0011,-0.0004,-0.0013
0.37,0,0.0007,-0.0016,-0.0007
0.38,0.005,-0.0001,-0.002,-0.0005
0.39,0,0.0009,0,-0.0009
0.4,0,0.0021,-0.0006,-0.0013
0.41,0,0.0019,-0.0018,-0.0003
0.42,0,0.0005,-0.0012,-0.0013
