Time,Current,Magnetic Field 1,Magnetic Field 2,Magnetic Field 3
0,-0.006,-0.0014,-0.0009,0.0012
0.01,-0.006,-0.0027,0.002,0
0.02,-0.006,-0.0019,0,-0.0004
0.03,-0.006,0.0004,-0.0007,-0.0005
0.04,-0.006,-0.0021,-0.0009,-0.0009
0.05,-0.006,-0.0017,-0.0007,0.0006
0.06,-0.006,-0.0019,0.0008,-0.0002
0.07,-0.006,-0.0004,0.0004,0.0012
0.08,-0.006,-0.0019,0,0.0004
0.09,-0.006,-0.0021,-0.0013,0
0.1,-0.006,-0.0023,0.0004,-0.0004
0.11,0,-0.0025,-0.0011,-0.0002
0.12,-0.006,-0.0025,-0.0015,-0.0011
0.13,-0.006,-0.0029,-0.0001,-0.0009
0.14,-0.006,-0.0021,-0.0005,-0.0005
0.15,-0.006,-0.0019,0.0006,0
0.16,-0.006,-0.0019,-0.0009,-0.0011
0.17,-0.006,-0.0019,0,-0.0002
0.18,-0.006,-0.0029,0.0008,-0.0011
0.19,-0.006,-0.0033,-0.0011,0.0006
0.2,-0.006,0.0008,-0.0013,0
0.21,-0.006,-0.0012,0,0.0006
0.22,-0.006,-0.0004,-0.0001,0.0008
0.23,-0.006,-0.0017,0.001,0.0008
0.24,-0.006,-0.0015,0.0002,-0.0007
0.25,-0.006,-0.0019,0.0004,-0.0005
0.26,-0.006,-0.0017,0.0002,-0.0004
0.27,-0.006,-0.0017,-0.0007,0.0006
0.28,-0.006,-0.0017,0.0018,-0.0013
0.29,-0.006,-0.0021,-0.0003,0.0006
0.3,0,-0.0021,-0.0005,0.0016
0.31,-0.006,-0.0021,0,0.0002
0.32,-0.006,-0.0037,0.0006,-0.0004
0.33,-0.006,-0.0029,0,0
0.34,-0.006,-0.0017,-0.0007,0
0.35,-0.006,-0.0023,0.001,-0.0002
0.36,-0.006,-0.0027,0,0.0002
0.37,-0.006,-0.0021,0.0014,0.001
0.38,-0.006,-0.0017,-0.0007,-0.0005
0.39,0,-0.0027,0,0
0.4,-0.006,-0.0033,0.0012,0.0008
0.41,-0.006,-0.0021,0.0002,-0.0009
0.42,-0.006,-0.0014,0.0045,0.001
0.43,-0.006,-0.0019,-0.0005,-0.0009
